City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alo,7.4178,6.7371,26.25,62,57,2.05,NG,1701560800
1,ribeira grande,38.5167,-28.7,14.87,55,100,6.71,PT,1701560820
2,albany,42.6001,-73.9662,7.43,92,98,0.48,US,1701560227
3,taoudenni,22.6783,-3.9836,22.63,27,23,2.53,ML,1701560851
4,adamstown,-25.066,-130.1015,22.91,82,11,4.71,PN,1701560861
5,porto novo,6.4965,2.6036,25.95,87,97,1.9,BJ,1701560872
6,adelaide,-34.9333,138.6,23.42,52,0,1.79,AU,1701560475
7,port-aux-francais,-49.35,70.2167,4.56,95,57,13.42,TF,1701560331
8,blackmans bay,-43.0167,147.3167,14.85,82,100,0.89,AU,1701560902
9,ushuaia,-54.8,-68.3,5.81,70,75,9.26,AR,1701560824
10,saint-philippe,-21.3585,55.7679,23.77,94,92,1.72,RE,1701560380
11,ad dabbah,18.05,30.95,21.34,23,0,4.58,SD,1701560944
12,laguna,38.421,-121.4238,16.14,78,100,5.14,US,1701560954
13,lihue,21.9789,-159.3672,27.47,74,0,3.6,US,1701560669
14,kirensk,57.7853,108.1119,-6.69,94,100,3.58,RU,1701560975
15,hawaiian paradise park,19.5933,-154.9731,27.8,82,75,4.63,US,1701560985
16,port mathurin,-19.6833,63.4167,25.81,80,100,6.87,MU,1701560995
17,ginir,7.1333,40.7,12.42,59,34,2.24,ET,1701561005
18,guangyuan,32.442,105.823,8.72,83,84,0.16,CN,1701561016
19,dudinka,69.4058,86.1778,-27.99,89,8,7.2,RU,1701561026
20,dwarka,22.2394,68.9678,23.92,62,0,8.5,IN,1701560970
21,talnakh,69.4865,88.3972,-28.22,92,21,0.53,RU,1701561047
22,san luis,-33.295,-66.3356,20.94,32,74,11.21,AR,1701561057
23,avarua,-21.2078,-159.775,26.03,73,99,5.66,CK,1701561067
24,stanley,54.868,-1.6985,-1.27,94,88,1.36,GB,1701561078
25,grytviken,-54.2811,-36.5092,3.85,66,75,6.24,GS,1701561088
26,longyearbyen,78.2186,15.6401,-9.09,79,75,5.14,SJ,1701561098
27,waitangi,-43.9535,-176.5597,16.57,82,100,4.02,NZ,1701561108
28,lloydminster,53.2835,-110.0016,-10.88,92,20,2.06,CA,1701561119
29,corinto,37.9407,22.9573,15.5,72,100,2.02,GR,1701561129
30,yellowknife,62.456,-114.3525,-18.71,84,75,4.12,CA,1701561139
31,mugia,43.1041,-9.2179,9.39,81,79,7.01,ES,1701561023
32,i-n-salah,27.1935,2.4607,18.8,12,6,2.47,DZ,1701561160
33,daru,-9.0763,143.2092,27.05,86,99,3.18,PG,1701561170
34,eruh,37.7517,42.1811,2.46,48,17,0.73,TR,1701561180
35,sitka,57.0531,-135.33,5.94,65,75,2.06,US,1701561191
36,vrangel',42.7297,133.0839,-3.48,64,7,4.44,RU,1701561201
37,sint michiel liber,12.15,-68.9833,27.9,78,20,5.66,CW,1701561211
38,puerto natales,-51.7236,-72.4875,5.22,71,38,5.89,CL,1701561222
39,jamestown,42.097,-79.2353,7.8,100,100,1.54,US,1701561099
40,vernon,50.2581,-119.2691,3.2,81,97,1.03,CA,1701561242
41,princeville,45.7668,-61.2985,6.48,99,100,0.0,CA,1701561253
42,muravlenko,63.7898,74.523,-26.05,89,24,6.55,RU,1701561263
43,colonia,50.9333,6.95,1.59,80,20,2.57,DE,1701561243
44,el calafate,-50.3408,-72.2768,7.03,52,29,6.47,AR,1701561283
45,kiuruvesi,63.65,26.6167,-8.95,97,100,1.59,FI,1701561294
46,fale old settlement,-9.3852,-171.2468,27.73,71,100,2.55,TK,1701561304
47,okhotsk,59.3833,143.3,-32.87,87,76,5.19,RU,1701561325
48,smirnykh,49.75,142.8333,-8.85,74,29,2.79,RU,1701561335
49,tadine,-21.55,167.8833,26.11,65,15,2.31,NC,1701561345
50,thompson,55.7435,-97.8558,-10.91,92,75,2.06,CA,1701561366
51,filadelfia,39.9523,-75.1638,11.56,95,100,2.57,US,1701561322
52,olavarria,-36.8927,-60.3225,13.2,64,76,8.6,AR,1701561396
53,alofi,-19.0595,-169.9187,27.94,74,72,7.9,NU,1701561407
54,isafjordur,66.0755,-23.124,-0.9,82,80,4.46,IS,1701561417
55,ponta delgada,37.7333,-25.6667,13.4,88,75,7.2,PT,1701561427
56,arkhangel'sk,64.5401,40.5433,-13.94,92,100,0.0,RU,1701561270
57,gizo,-8.103,156.8419,28.27,82,99,6.1,SB,1701561448
58,touros,-5.1989,-35.4608,26.1,78,28,5.85,BR,1701561458
59,iqaluit,63.7506,-68.5145,-6.15,58,40,5.66,CA,1701561468
60,weno,7.4515,151.8468,28.69,76,40,8.2,FM,1701561478
61,kui buri,12.0828,99.8543,24.81,89,98,2.96,TH,1701561489
62,olyokminsk,60.3736,120.4264,-26.39,95,100,1.62,RU,1701561499
63,oral,51.2333,51.3667,-3.01,74,100,5.0,KZ,1701561509
64,tralee,52.2704,-9.7026,4.36,96,100,2.34,IE,1701561519
65,bethel,41.3712,-73.414,9.63,88,0,0.0,US,1701561468
66,mumbai,19.0144,72.8479,27.99,74,20,0.0,IN,1701561511
67,xinyuan,37.3,99.0,-10.43,54,14,2.46,CN,1701561550
68,igurusi,-8.85,33.85,19.33,83,74,0.68,TZ,1701561561
69,walvis bay,-22.9575,14.5053,17.83,85,86,5.02,NA,1701561571
70,jian'ou,27.0469,118.3253,12.52,95,100,0.79,CN,1701561582
71,plettenberg bay,-34.0527,23.3716,15.94,86,14,2.24,ZA,1701561592
72,wailua homesteads,22.0669,-159.378,27.14,74,3,2.24,US,1701561614
73,badger,64.8,-147.5333,-18.9,83,40,0.0,US,1701561625
74,tiksi,71.6872,128.8694,-28.15,99,100,2.98,RU,1701561635
75,tabou,4.423,-7.3528,26.14,87,21,2.32,CI,1701561645
76,port lincoln,-34.7333,135.8667,17.9,65,42,5.84,AU,1701561656
77,st. john's,47.5649,-52.7093,3.32,95,75,2.24,CA,1701561666
78,enewetak,11.3474,162.3373,27.71,77,94,7.21,MH,1701561676
79,fortuna,40.5982,-124.1573,13.53,98,100,0.0,US,1701561687
80,haiku-pauwela,20.9219,-156.3051,26.69,79,34,4.9,US,1701561698
81,nova sintra,14.8667,-24.7167,22.9,76,75,3.99,CV,1701561709
82,balneario camboriu,-26.9906,-48.6347,24.98,100,75,3.6,BR,1701561719
83,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,81,40,7.6,RU,1701561730
84,aracati,-4.5617,-37.7697,26.47,78,46,5.38,BR,1701561740
85,hotan,37.0997,79.9269,0.01,41,45,0.84,CN,1701561751
86,la'ie,21.6477,-157.9253,28.36,73,17,2.68,US,1701561761
87,oblivskaya,48.5362,42.5014,3.91,91,100,4.71,RU,1701561771
88,ilulissat,69.2167,-51.1,-1.99,46,24,7.72,GL,1701561782
89,uturoa,-16.7333,-151.4333,27.69,76,100,8.42,PF,1701561792
90,sodankyla,67.4167,26.6,-9.67,95,99,3.02,FI,1701561803
91,glengowrie,-34.9865,138.5348,23.8,54,0,2.06,AU,1701561813
92,al bardiyah,31.7561,25.0865,17.64,42,97,3.4,LY,1701561823
93,wynyard,-41.0,145.7167,16.4,76,100,3.62,AU,1701561833
94,tahe,52.3333,124.7333,-14.12,90,99,1.18,CN,1701561845
95,puerto ayora,-0.7393,-90.3518,24.42,82,91,4.88,EC,1701561855
96,road town,18.4167,-64.6167,27.05,78,40,9.45,VG,1701561866
97,vadso,70.0744,29.7487,0.09,86,100,6.17,NO,1701561876
98,susuman,62.7833,148.1667,-36.27,100,99,0.52,RU,1701561886
99,okha,53.5739,142.9478,-12.82,85,100,6.18,RU,1701561897
100,west island,-12.1568,96.8225,25.99,73,98,3.6,CC,1701561907
101,punta del este,-34.9667,-54.95,20.06,93,0,1.54,UY,1701561747
102,iskushuban,10.2837,50.23,22.25,65,84,3.51,SO,1701561929
103,sao joao evangelista,-18.5478,-42.7633,18.27,96,93,1.6,BR,1701561939
104,rabo de peixe,37.8,-25.5833,12.73,88,75,7.2,PT,1701561950
105,along,28.1667,94.7667,13.6,74,47,0.63,IN,1701561960
106,port elizabeth,-33.918,25.5701,19.06,92,75,0.51,ZA,1701561970
107,halych,49.1218,24.7258,-0.86,93,100,8.65,UA,1701561980
108,bredasdorp,-34.5322,20.0403,16.52,73,100,1.01,ZA,1701561991
109,saipan,15.1355,145.701,29.39,65,40,9.77,MP,1701562001
110,zuunmod,47.7069,106.9528,-13.21,85,3,2.71,MN,1701562011
111,prince george,53.9166,-122.753,1.25,87,73,1.34,CA,1701562022
112,callao,-12.0667,-77.15,24.29,77,40,6.17,PE,1701561799
113,iskateley,67.6803,53.1512,-9.99,95,100,5.36,RU,1701562042
114,invercargill,-46.4,168.35,13.09,50,50,6.89,NZ,1701562053
115,tolanaro,-25.0319,46.9987,20.44,70,100,3.68,MG,1701562063
116,richards bay,-28.783,32.0377,20.42,90,51,2.36,ZA,1701562073
117,coquimbo,-29.9533,-71.3436,16.85,77,0,5.14,CL,1701561962
118,itamaraca,-7.7478,-34.8256,25.99,82,91,3.79,BR,1701562094
119,cole harbour,44.6724,-63.4751,6.66,96,100,1.75,CA,1701562105
120,alice springs,-23.7,133.8833,30.75,27,0,5.66,AU,1701562004
121,udachny,66.4167,112.4,-38.93,100,99,1.36,RU,1701562125
122,phon charoen,18.0333,103.1667,22.82,83,97,2.24,TH,1701562135
123,pisco,-13.7,-76.2167,20.03,77,0,7.72,PE,1701562146
124,college,64.8569,-147.8028,-19.4,80,75,1.54,US,1701562166
125,tsiombe,-25.3,45.4833,20.71,57,64,5.94,MG,1701562176
126,lossiemouth,57.7214,-3.2834,-5.08,93,0,2.06,GB,1701562187
127,port alfred,-33.5906,26.891,17.88,94,91,5.13,ZA,1701562197
128,bilibino,68.0546,166.4372,-26.1,97,58,1.09,RU,1701562208
129,whitehorse,60.7161,-135.0538,-16.47,99,79,1.33,CA,1701562218
130,mermoz boabab,14.7065,-17.4758,25.31,78,94,9.71,SN,1701562228
131,rumonge,-3.9736,29.4386,21.82,84,99,1.66,BI,1701562239
132,sona,45.4388,10.8255,6.75,88,75,2.06,IT,1701562249
133,bayan,46.0833,127.4,-19.3,99,78,2.29,CN,1701562259
134,nichinan,31.6,131.3667,10.67,57,2,1.86,JP,1701562178
135,shimabara,32.7833,130.3667,7.84,66,77,1.56,JP,1701562279
136,puerto baquerizo moreno,-0.9,-89.6,24.05,82,80,5.92,EC,1701562290
137,vila franca do campo,37.7167,-25.4333,13.23,91,100,8.29,PT,1701562300
138,riosucio,5.4216,-75.7032,20.6,92,73,1.19,CO,1701562310
139,calingasta,-31.3308,-69.4078,22.98,25,0,4.49,AR,1701562321
140,saint-francois,46.4154,3.9054,-3.31,86,0,1.03,FR,1701562076
141,buala,-8.145,159.5921,26.65,89,100,4.02,SB,1701562341
142,brigantine,39.4101,-74.3646,10.57,98,100,1.48,US,1701562352
143,fuqing,25.725,119.3794,12.77,87,100,3.01,CN,1701562362
144,regina,50.4501,-104.6178,-3.34,68,46,4.47,CA,1701562008
145,yigo village,13.5361,144.8886,26.62,83,20,9.77,GU,1701562382
146,tofol,5.3248,163.0078,30.88,70,75,8.23,FM,1701562393
147,savonlinna,61.8699,28.88,-10.97,85,100,1.54,FI,1701562403
148,new norfolk,-42.7826,147.0587,16.07,70,100,1.27,AU,1701562414
149,xining,36.6167,101.7667,-3.02,45,8,0.83,CN,1701562424
150,chom thong,18.4174,98.6743,23.94,93,83,0.44,TH,1701562434
151,xilin hot,43.9667,116.0333,-7.11,72,58,5.8,CN,1701562445
152,punta arenas,-53.15,-70.9167,7.84,66,53,9.09,CL,1701562282
153,kruisfontein,-34.0033,24.7314,17.16,95,77,1.16,ZA,1701562465
154,labrador city,52.9463,-66.9114,-25.05,84,0,2.57,CA,1701562476
155,east london,-33.0153,27.9116,21.0,80,100,5.0,ZA,1701562486
156,tazovsky,67.4667,78.7,-27.81,94,6,4.85,RU,1701562496
